question,answer,image_id
What is the emotion in the image 2WGyTLYerpo_14?,normal,2WGyTLYerpo_14
What is the emotion in the image 2WGyTLYerpo_15?,happy,2WGyTLYerpo_15
What is the emotion in the image 2WGyTLYerpo_16?,happy,2WGyTLYerpo_16
What is the emotion in the image 2WGyTLYerpo_17?,happy,2WGyTLYerpo_17
What is the emotion in the image 2WGyTLYerpo_18?,happy,2WGyTLYerpo_18
What is the emotion in the image 2WGyTLYerpo_19?,happy,2WGyTLYerpo_19
What is the emotion in the image 2WGyTLYerpo_1?,normal,2WGyTLYerpo_1
What is the emotion in the image 2WGyTLYerpo_20?,normal,2WGyTLYerpo_20
What is the emotion in the image 2WGyTLYerpo_21?,normal,2WGyTLYerpo_21
What is the emotion in the image 2WGyTLYerpo_22?,normal,2WGyTLYerpo_22
What is the emotion in the image 2WGyTLYerpo_23?,happy,2WGyTLYerpo_23
What is the emotion in the image 2WGyTLYerpo_24?,happy,2WGyTLYerpo_24
What is the emotion in the image 2WGyTLYerpo_25?,happy,2WGyTLYerpo_25
What is the emotion in the image 2WGyTLYerpo_26?,happy,2WGyTLYerpo_26
What is the emotion in the image 2WGyTLYerpo_27?,happy,2WGyTLYerpo_27
What is the emotion in the image 2WGyTLYerpo_28?,normal,2WGyTLYerpo_28
What is the emotion in the image 2WGyTLYerpo_29?,normal,2WGyTLYerpo_29
What is the emotion in the image 2WGyTLYerpo_2?,normal,2WGyTLYerpo_2
What is the emotion in the image 2WGyTLYerpo_30?,happy,2WGyTLYerpo_30
What is the emotion in the image 2WGyTLYerpo_31?,happy,2WGyTLYerpo_31
What is the emotion in the image 2WGyTLYerpo_32?,happy,2WGyTLYerpo_32
What is the emotion in the image 2WGyTLYerpo_33?,normal,2WGyTLYerpo_33
What is the emotion in the image 2WGyTLYerpo_34?,happy,2WGyTLYerpo_34
What is the emotion in the image 2WGyTLYerpo_35?,happy,2WGyTLYerpo_35
What is the emotion in the image 2WGyTLYerpo_36?,happy,2WGyTLYerpo_36
What is the emotion in the image 2WGyTLYerpo_37?,happy,2WGyTLYerpo_37
What is the emotion in the image 2WGyTLYerpo_38?,normal,2WGyTLYerpo_38
What is the emotion in the image 2WGyTLYerpo_39?,normal,2WGyTLYerpo_39
What is the emotion in the image 2WGyTLYerpo_3?,normal,2WGyTLYerpo_3
What is the emotion in the image 2WGyTLYerpo_40?,normal,2WGyTLYerpo_40
What is the emotion in the image 2WGyTLYerpo_41?,normal,2WGyTLYerpo_41
What is the emotion in the image 2WGyTLYerpo_42?,happy,2WGyTLYerpo_42
What is the emotion in the image 2WGyTLYerpo_44?,normal,2WGyTLYerpo_44
What is the emotion in the image 2WGyTLYerpo_45?,happy,2WGyTLYerpo_45
What is the emotion in the image 2WGyTLYerpo_46?,normal,2WGyTLYerpo_46
What is the emotion in the image 2WGyTLYerpo_47?,normal,2WGyTLYerpo_47
What is the emotion in the image 2WGyTLYerpo_48?,normal,2WGyTLYerpo_48
What is the emotion in the image 2WGyTLYerpo_49?,sad,2WGyTLYerpo_49
What is the emotion in the image 2WGyTLYerpo_4?,normal,2WGyTLYerpo_4
What is the emotion in the image 2WGyTLYerpo_50?,normal,2WGyTLYerpo_50
What is the emotion in the image 2WGyTLYerpo_51?,normal,2WGyTLYerpo_51
What is the emotion in the image 2WGyTLYerpo_52?,normal,2WGyTLYerpo_52
What is the emotion in the image 2WGyTLYerpo_53?,sad,2WGyTLYerpo_53
What is the emotion in the image 2WGyTLYerpo_54?,normal,2WGyTLYerpo_54
What is the emotion in the image 2WGyTLYerpo_55?,normal,2WGyTLYerpo_55
What is the emotion in the image 2WGyTLYerpo_56?,sad,2WGyTLYerpo_56
What is the emotion in the image 2WGyTLYerpo_57?,sad,2WGyTLYerpo_57
What is the emotion in the image 2WGyTLYerpo_58?,happy,2WGyTLYerpo_58
What is the emotion in the image 2WGyTLYerpo_59?,happy,2WGyTLYerpo_59
What is the emotion in the image 2WGyTLYerpo_5?,happy,2WGyTLYerpo_5
What is the emotion in the image 2WGyTLYerpo_60?,happy,2WGyTLYerpo_60
What is the emotion in the image 2WGyTLYerpo_61?,happy,2WGyTLYerpo_61
What is the emotion in the image 2WGyTLYerpo_62?,happy,2WGyTLYerpo_62
What is the emotion in the image 2WGyTLYerpo_6?,happy,2WGyTLYerpo_6
What is the emotion in the image 2WGyTLYerpo_7?,happy,2WGyTLYerpo_7
What is the emotion in the image 2WGyTLYerpo_8?,normal,2WGyTLYerpo_8
What is the emotion in the image 2WGyTLYerpo_9?,normal,2WGyTLYerpo_9
What is the emotion in the image 2iD-tVS8NPw_0?,normal,2iD-tVS8NPw_0
What is the emotion in the image 2iD-tVS8NPw_10?,normal,2iD-tVS8NPw_10
What is the emotion in the image 2iD-tVS8NPw_11?,happy,2iD-tVS8NPw_11
What is the emotion in the image 2iD-tVS8NPw_12?,happy,2iD-tVS8NPw_12
What is the emotion in the image 2iD-tVS8NPw_13?,normal,2iD-tVS8NPw_13
What is the emotion in the image 2iD-tVS8NPw_14?,sad,2iD-tVS8NPw_14
What is the emotion in the image 2iD-tVS8NPw_15?,sad,2iD-tVS8NPw_15
What is the emotion in the image 2iD-tVS8NPw_16?,normal,2iD-tVS8NPw_16
What is the emotion in the image 2iD-tVS8NPw_17?,normal,2iD-tVS8NPw_17
What is the emotion in the image 2iD-tVS8NPw_18?,normal,2iD-tVS8NPw_18
What is the emotion in the image 2iD-tVS8NPw_19?,normal,2iD-tVS8NPw_19
What is the emotion in the image 2iD-tVS8NPw_1?,happy,2iD-tVS8NPw_1
What is the emotion in the image 2iD-tVS8NPw_20?,happy,2iD-tVS8NPw_20
What is the emotion in the image 2iD-tVS8NPw_21?,happy,2iD-tVS8NPw_21
What is the emotion in the image 2iD-tVS8NPw_22?,normal,2iD-tVS8NPw_22
What is the emotion in the image 2iD-tVS8NPw_23?,normal,2iD-tVS8NPw_23
What is the emotion in the image 2iD-tVS8NPw_24?,normal,2iD-tVS8NPw_24
What is the emotion in the image 2iD-tVS8NPw_25?,normal,2iD-tVS8NPw_25
What is the emotion in the image 2iD-tVS8NPw_26?,happy,2iD-tVS8NPw_26
What is the emotion in the image 2iD-tVS8NPw_27?,happy,2iD-tVS8NPw_27
What is the emotion in the image 2iD-tVS8NPw_28?,happy,2iD-tVS8NPw_28
What is the emotion in the image 2iD-tVS8NPw_29?,normal,2iD-tVS8NPw_29
What is the emotion in the image 2iD-tVS8NPw_2?,happy,2iD-tVS8NPw_2
What is the emotion in the image 2iD-tVS8NPw_3?,happy,2iD-tVS8NPw_3
What is the emotion in the image 2iD-tVS8NPw_4?,happy,2iD-tVS8NPw_4
What is the emotion in the image 2iD-tVS8NPw_5?,happy,2iD-tVS8NPw_5
What is the emotion in the image 2iD-tVS8NPw_6?,happy,2iD-tVS8NPw_6
What is the emotion in the image 2iD-tVS8NPw_7?,happy,2iD-tVS8NPw_7
What is the emotion in the image 2iD-tVS8NPw_8?,happy,2iD-tVS8NPw_8
What is the emotion in the image 2iD-tVS8NPw_9?,happy,2iD-tVS8NPw_9
What is the emotion in the image 5W7Z1C_fDaE_0?,happy,5W7Z1C_fDaE_0
What is the emotion in the image 5W7Z1C_fDaE_10?,happy,5W7Z1C_fDaE_10
What is the emotion in the image 5W7Z1C_fDaE_11?,normal,5W7Z1C_fDaE_11
What is the emotion in the image 5W7Z1C_fDaE_12?,happy,5W7Z1C_fDaE_12
What is the emotion in the image 5W7Z1C_fDaE_13?,happy,5W7Z1C_fDaE_13
What is the emotion in the image 5W7Z1C_fDaE_14?,normal,5W7Z1C_fDaE_14
What is the emotion in the image 5W7Z1C_fDaE_15?,sad,5W7Z1C_fDaE_15
What is the emotion in the image 5W7Z1C_fDaE_16?,normal,5W7Z1C_fDaE_16
What is the emotion in the image 5W7Z1C_fDaE_17?,happy,5W7Z1C_fDaE_17
What is the emotion in the image 5W7Z1C_fDaE_18?,happy,5W7Z1C_fDaE_18
What is the emotion in the image 5W7Z1C_fDaE_19?,happy,5W7Z1C_fDaE_19
What is the emotion in the image 5W7Z1C_fDaE_1?,happy,5W7Z1C_fDaE_1
What is the emotion in the image 5W7Z1C_fDaE_20?,happy,5W7Z1C_fDaE_20
What is the emotion in the image 5W7Z1C_fDaE_21?,happy,5W7Z1C_fDaE_21
What is the emotion in the image 5W7Z1C_fDaE_22?,happy,5W7Z1C_fDaE_22
What is the emotion in the image 5W7Z1C_fDaE_23?,happy,5W7Z1C_fDaE_23
What is the emotion in the image 5W7Z1C_fDaE_2?,normal,5W7Z1C_fDaE_2
What is the emotion in the image 5W7Z1C_fDaE_3?,normal,5W7Z1C_fDaE_3
What is the emotion in the image 5W7Z1C_fDaE_4?,happy,5W7Z1C_fDaE_4
What is the emotion in the image 5W7Z1C_fDaE_5?,normal,5W7Z1C_fDaE_5
What is the emotion in the image 5W7Z1C_fDaE_6?,happy,5W7Z1C_fDaE_6
What is the emotion in the image 5W7Z1C_fDaE_7?,happy,5W7Z1C_fDaE_7
What is the emotion in the image 5W7Z1C_fDaE_8?,happy,5W7Z1C_fDaE_8
What is the emotion in the image 5W7Z1C_fDaE_9?,normal,5W7Z1C_fDaE_9
What is the emotion in the image 6Egk_28TtTM_0?,normal,6Egk_28TtTM_0
What is the emotion in the image 6Egk_28TtTM_10?,sad,6Egk_28TtTM_10
What is the emotion in the image 6Egk_28TtTM_11?,happy,6Egk_28TtTM_11
What is the emotion in the image 6Egk_28TtTM_1?,happy,6Egk_28TtTM_1
What is the emotion in the image 6Egk_28TtTM_2?,happy,6Egk_28TtTM_2
What is the emotion in the image 6Egk_28TtTM_3?,happy,6Egk_28TtTM_3
What is the emotion in the image 6Egk_28TtTM_4?,happy,6Egk_28TtTM_4
What is the emotion in the image 6Egk_28TtTM_5?,happy,6Egk_28TtTM_5
What is the emotion in the image 6Egk_28TtTM_6?,happy,6Egk_28TtTM_6
What is the emotion in the image 6Egk_28TtTM_7?,normal,6Egk_28TtTM_7
What is the emotion in the image 6Egk_28TtTM_8?,normal,6Egk_28TtTM_8
What is the emotion in the image 6Egk_28TtTM_9?,normal,6Egk_28TtTM_9
What is the emotion in the image 6_0THN4chvY_0?,happy,6_0THN4chvY_0
What is the emotion in the image 6_0THN4chvY_10?,normal,6_0THN4chvY_10
What is the emotion in the image 6_0THN4chvY_11?,happy,6_0THN4chvY_11
What is the emotion in the image 6_0THN4chvY_12?,happy,6_0THN4chvY_12
What is the emotion in the image 6_0THN4chvY_13?,happy,6_0THN4chvY_13
What is the emotion in the image 6_0THN4chvY_1?,normal,6_0THN4chvY_1
What is the emotion in the image 6_0THN4chvY_2?,happy,6_0THN4chvY_2
What is the emotion in the image 6_0THN4chvY_3?,happy,6_0THN4chvY_3
What is the emotion in the image 6_0THN4chvY_4?,normal,6_0THN4chvY_4
What is the emotion in the image 6_0THN4chvY_5?,happy,6_0THN4chvY_5
What is the emotion in the image 6_0THN4chvY_6?,normal,6_0THN4chvY_6
What is the emotion in the image 6_0THN4chvY_7?,happy,6_0THN4chvY_7
What is the emotion in the image 6_0THN4chvY_8?,normal,6_0THN4chvY_8
What is the emotion in the image 6_0THN4chvY_9?,normal,6_0THN4chvY_9
What is the emotion in the image 73jzhE8R1TQ_0?,happy,73jzhE8R1TQ_0
What is the emotion in the image 73jzhE8R1TQ_10?,sad,73jzhE8R1TQ_10
What is the emotion in the image 73jzhE8R1TQ_11?,sad,73jzhE8R1TQ_11
What is the emotion in the image 73jzhE8R1TQ_12?,normal,73jzhE8R1TQ_12
What is the emotion in the image 73jzhE8R1TQ_13?,normal,73jzhE8R1TQ_13
What is the emotion in the image 73jzhE8R1TQ_14?,sad,73jzhE8R1TQ_14
What is the emotion in the image 73jzhE8R1TQ_15?,normal,73jzhE8R1TQ_15
What is the emotion in the image 73jzhE8R1TQ_16?,normal,73jzhE8R1TQ_16
What is the emotion in the image 73jzhE8R1TQ_17?,sad,73jzhE8R1TQ_17
What is the emotion in the image 73jzhE8R1TQ_18?,sad,73jzhE8R1TQ_18
What is the emotion in the image 73jzhE8R1TQ_1?,normal,73jzhE8R1TQ_1
What is the emotion in the image 73jzhE8R1TQ_2?,normal,73jzhE8R1TQ_2
What is the emotion in the image 73jzhE8R1TQ_3?,happy,73jzhE8R1TQ_3
What is the emotion in the image 73jzhE8R1TQ_4?,normal,73jzhE8R1TQ_4
What is the emotion in the image 73jzhE8R1TQ_5?,happy,73jzhE8R1TQ_5
What is the emotion in the image 73jzhE8R1TQ_6?,happy,73jzhE8R1TQ_6
What is the emotion in the image 73jzhE8R1TQ_7?,happy,73jzhE8R1TQ_7
What is the emotion in the image 73jzhE8R1TQ_8?,normal,73jzhE8R1TQ_8
What is the emotion in the image 73jzhE8R1TQ_9?,happy,73jzhE8R1TQ_9
What is the emotion in the image 7JsX8y1ysxY_0?,happy,7JsX8y1ysxY_0
What is the emotion in the image 7JsX8y1ysxY_10?,normal,7JsX8y1ysxY_10
What is the emotion in the image 7JsX8y1ysxY_11?,normal,7JsX8y1ysxY_11
What is the emotion in the image 7JsX8y1ysxY_12?,sad,7JsX8y1ysxY_12
What is the emotion in the image 7JsX8y1ysxY_13?,sad,7JsX8y1ysxY_13
What is the emotion in the image 7JsX8y1ysxY_14?,normal,7JsX8y1ysxY_14
What is the emotion in the image 7JsX8y1ysxY_15?,happy,7JsX8y1ysxY_15
What is the emotion in the image 7JsX8y1ysxY_16?,normal,7JsX8y1ysxY_16
What is the emotion in the image 7JsX8y1ysxY_17?,normal,7JsX8y1ysxY_17
What is the emotion in the image 7JsX8y1ysxY_18?,normal,7JsX8y1ysxY_18
What is the emotion in the image 7JsX8y1ysxY_19?,normal,7JsX8y1ysxY_19
What is the emotion in the image 7JsX8y1ysxY_1?,happy,7JsX8y1ysxY_1
What is the emotion in the image 7JsX8y1ysxY_20?,happy,7JsX8y1ysxY_20
What is the emotion in the image 7JsX8y1ysxY_21?,happy,7JsX8y1ysxY_21
What is the emotion in the image 7JsX8y1ysxY_22?,happy,7JsX8y1ysxY_22
What is the emotion in the image 7JsX8y1ysxY_23?,happy,7JsX8y1ysxY_23
What is the emotion in the image 7JsX8y1ysxY_24?,happy,7JsX8y1ysxY_24
What is the emotion in the image 7JsX8y1ysxY_25?,happy,7JsX8y1ysxY_25
What is the emotion in the image 7JsX8y1ysxY_26?,happy,7JsX8y1ysxY_26
What is the emotion in the image 7JsX8y1ysxY_27?,sad,7JsX8y1ysxY_27
What is the emotion in the image 7JsX8y1ysxY_28?,sad,7JsX8y1ysxY_28
What is the emotion in the image 7JsX8y1ysxY_29?,happy,7JsX8y1ysxY_29
What is the emotion in the image 7JsX8y1ysxY_2?,sad,7JsX8y1ysxY_2
What is the emotion in the image 7JsX8y1ysxY_30?,happy,7JsX8y1ysxY_30
What is the emotion in the image 7JsX8y1ysxY_31?,normal,7JsX8y1ysxY_31
What is the emotion in the image 7JsX8y1ysxY_32?,happy,7JsX8y1ysxY_32
What is the emotion in the image 7JsX8y1ysxY_33?,normal,7JsX8y1ysxY_33
What is the emotion in the image 7JsX8y1ysxY_34?,normal,7JsX8y1ysxY_34
What is the emotion in the image 7JsX8y1ysxY_35?,sad,7JsX8y1ysxY_35
What is the emotion in the image 7JsX8y1ysxY_36?,sad,7JsX8y1ysxY_36
What is the emotion in the image 7JsX8y1ysxY_37?,sad,7JsX8y1ysxY_37
What is the emotion in the image 7JsX8y1ysxY_38?,happy,7JsX8y1ysxY_38
What is the emotion in the image 7JsX8y1ysxY_3?,happy,7JsX8y1ysxY_3
What is the emotion in the image 7JsX8y1ysxY_4?,happy,7JsX8y1ysxY_4
What is the emotion in the image 7JsX8y1ysxY_5?,happy,7JsX8y1ysxY_5
What is the emotion in the image 7JsX8y1ysxY_6?,sad,7JsX8y1ysxY_6
What is the emotion in the image 7JsX8y1ysxY_7?,sad,7JsX8y1ysxY_7
What is the emotion in the image 7JsX8y1ysxY_8?,happy,7JsX8y1ysxY_8
What is the emotion in the image 7JsX8y1ysxY_9?,happy,7JsX8y1ysxY_9
What is the emotion in the image 8OtFthrtaJM_0?,normal,8OtFthrtaJM_0
What is the emotion in the image 8OtFthrtaJM_10?,normal,8OtFthrtaJM_10
What is the emotion in the image 8OtFthrtaJM_11?,normal,8OtFthrtaJM_11
What is the emotion in the image 8OtFthrtaJM_12?,sad,8OtFthrtaJM_12
What is the emotion in the image 8OtFthrtaJM_13?,sad,8OtFthrtaJM_13
What is the emotion in the image 8OtFthrtaJM_14?,normal,8OtFthrtaJM_14
What is the emotion in the image 8OtFthrtaJM_15?,normal,8OtFthrtaJM_15
What is the emotion in the image 8OtFthrtaJM_16?,happy,8OtFthrtaJM_16
What is the emotion in the image 8OtFthrtaJM_17?,happy,8OtFthrtaJM_17
What is the emotion in the image 8OtFthrtaJM_18?,sad,8OtFthrtaJM_18
What is the emotion in the image 8OtFthrtaJM_19?,sad,8OtFthrtaJM_19
What is the emotion in the image 8OtFthrtaJM_1?,normal,8OtFthrtaJM_1
What is the emotion in the image 8OtFthrtaJM_20?,sad,8OtFthrtaJM_20
What is the emotion in the image 8OtFthrtaJM_21?,happy,8OtFthrtaJM_21
What is the emotion in the image 8OtFthrtaJM_22?,normal,8OtFthrtaJM_22
What is the emotion in the image 8OtFthrtaJM_2?,sad,8OtFthrtaJM_2
What is the emotion in the image 8OtFthrtaJM_3?,sad,8OtFthrtaJM_3
What is the emotion in the image 8OtFthrtaJM_4?,normal,8OtFthrtaJM_4
What is the emotion in the image 8OtFthrtaJM_5?,sad,8OtFthrtaJM_5
What is the emotion in the image 8OtFthrtaJM_6?,sad,8OtFthrtaJM_6
What is the emotion in the image 8OtFthrtaJM_7?,normal,8OtFthrtaJM_7
What is the emotion in the image 8OtFthrtaJM_8?,normal,8OtFthrtaJM_8
What is the emotion in the image 8OtFthrtaJM_9?,normal,8OtFthrtaJM_9
What is the emotion in the image 8d-gEyoeBzc_0?,happy,8d-gEyoeBzc_0
What is the emotion in the image 8d-gEyoeBzc_10?,happy,8d-gEyoeBzc_10
What is the emotion in the image 8d-gEyoeBzc_11?,happy,8d-gEyoeBzc_11
What is the emotion in the image 8d-gEyoeBzc_12?,happy,8d-gEyoeBzc_12
What is the emotion in the image 8d-gEyoeBzc_13?,normal,8d-gEyoeBzc_13
What is the emotion in the image 8d-gEyoeBzc_14?,normal,8d-gEyoeBzc_14
What is the emotion in the image 8d-gEyoeBzc_15?,happy,8d-gEyoeBzc_15
What is the emotion in the image 8d-gEyoeBzc_16?,happy,8d-gEyoeBzc_16
What is the emotion in the image 8d-gEyoeBzc_17?,normal,8d-gEyoeBzc_17
What is the emotion in the image 8d-gEyoeBzc_18?,happy,8d-gEyoeBzc_18
What is the emotion in the image 8d-gEyoeBzc_19?,happy,8d-gEyoeBzc_19
What is the emotion in the image 8d-gEyoeBzc_1?,normal,8d-gEyoeBzc_1
What is the emotion in the image 8d-gEyoeBzc_20?,sad,8d-gEyoeBzc_20
What is the emotion in the image 8d-gEyoeBzc_21?,normal,8d-gEyoeBzc_21
What is the emotion in the image 8d-gEyoeBzc_22?,normal,8d-gEyoeBzc_22
What is the emotion in the image 8d-gEyoeBzc_23?,sad,8d-gEyoeBzc_23
What is the emotion in the image 8d-gEyoeBzc_24?,happy,8d-gEyoeBzc_24
What is the emotion in the image 8d-gEyoeBzc_25?,happy,8d-gEyoeBzc_25
What is the emotion in the image 8d-gEyoeBzc_26?,sad,8d-gEyoeBzc_26
What is the emotion in the image 8d-gEyoeBzc_27?,normal,8d-gEyoeBzc_27
What is the emotion in the image 8d-gEyoeBzc_28?,sad,8d-gEyoeBzc_28
What is the emotion in the image 8d-gEyoeBzc_29?,normal,8d-gEyoeBzc_29
What is the emotion in the image 8d-gEyoeBzc_2?,normal,8d-gEyoeBzc_2
What is the emotion in the image 8d-gEyoeBzc_3?,normal,8d-gEyoeBzc_3
What is the emotion in the image 8d-gEyoeBzc_4?,sad,8d-gEyoeBzc_4
What is the emotion in the image 8d-gEyoeBzc_5?,sad,8d-gEyoeBzc_5
What is the emotion in the image 8d-gEyoeBzc_6?,normal,8d-gEyoeBzc_6
What is the emotion in the image 8d-gEyoeBzc_7?,happy,8d-gEyoeBzc_7
What is the emotion in the image 8d-gEyoeBzc_8?,happy,8d-gEyoeBzc_8
What is the emotion in the image 8d-gEyoeBzc_9?,normal,8d-gEyoeBzc_9
What is the emotion in the image 8qrpnFRGt2A_0?,sad,8qrpnFRGt2A_0
What is the emotion in the image 8qrpnFRGt2A_10?,normal,8qrpnFRGt2A_10
What is the emotion in the image 8qrpnFRGt2A_11?,sad,8qrpnFRGt2A_11
What is the emotion in the image 8qrpnFRGt2A_12?,normal,8qrpnFRGt2A_12
What is the emotion in the image 8qrpnFRGt2A_13?,sad,8qrpnFRGt2A_13
What is the emotion in the image 8qrpnFRGt2A_14?,sad,8qrpnFRGt2A_14
What is the emotion in the image 8qrpnFRGt2A_15?,normal,8qrpnFRGt2A_15
What is the emotion in the image 8qrpnFRGt2A_16?,normal,8qrpnFRGt2A_16
What is the emotion in the image 8qrpnFRGt2A_17?,normal,8qrpnFRGt2A_17
